task_id,repository_folder,code_path_precision,code_path_recall,code_path_f1,code_path_exact,api_path_precision,api_path_recall,api_path_f1,api_path_exact,pred_code_paths,gold_code_paths,pred_api_paths,gold_api_paths,parse_ok,runtime_error
usecase_v1_0000_path,jobic10__student-management-using-django,1.0,0.75,0.8571,0,1.0,0.25,0.4,0,main_app/urls.py | main_app/hod_views.py | main_app/forms.py,main_app/urls.py | main_app/hod_views.py | main_app/forms.py | main_app/models.py,staff/add,staff/add | staff/manage | staff/edit/<staff_id> | staff/delete/<staff_id>,1,0
usecase_v1_0001_path,jobic10__student-management-using-django,1.0,0.75,0.8571,0,1.0,0.75,0.8571,0,main_app/urls.py | main_app/hod_views.py | main_app/forms.py,main_app/urls.py | main_app/hod_views.py | main_app/forms.py | main_app/models.py,student/add | student/edit/<student_id> | student/delete/<student_id>,student/add | student/manage | student/edit/<student_id> | student/delete/<student_id>,1,0
usecase_v1_0002_path,jobic10__student-management-using-django,1.0,0.5,0.6667,0,1.0,0.75,0.8571,0,main_app/urls.py | main_app/hod_views.py,main_app/urls.py | main_app/hod_views.py | main_app/forms.py | main_app/models.py,course/add | course/edit/<course_id> | course/delete/<course_id>,course/add | course/manage | course/edit/<course_id> | course/delete/<course_id>,1,0
usecase_v1_0003_path,jobic10__student-management-using-django,1.0,0.5,0.6667,0,1.0,0.75,0.8571,0,main_app/urls.py | main_app/hod_views.py,main_app/urls.py | main_app/hod_views.py | main_app/forms.py | main_app/models.py,subject/add | subject/edit/<subject_id> | subject/delete/<subject_id>,subject/add | subject/manage | subject/edit/<subject_id> | subject/delete/<subject_id>,1,0
usecase_v1_0004_path,jobic10__student-management-using-django,1.0,1.0,1.0,1,1.0,1.0,1.0,1,main_app/urls.py | main_app/hod_views.py | main_app/forms.py | main_app/models.py,main_app/urls.py | main_app/hod_views.py | main_app/forms.py | main_app/models.py,add_session | session/manage | session/edit/<session_id> | session/delete/<session_id>,add_session | session/manage | session/edit/<session_id> | session/delete/<session_id>,1,0
usecase_v1_0005_path,jobic10__student-management-using-django,1.0,0.75,0.8571,0,1.0,1.0,1.0,1,main_app/urls.py | main_app/staff_views.py | main_app/templates/staff_template/staff_take_attendance.html,main_app/urls.py | main_app/staff_views.py | main_app/models.py | main_app/templates/staff_template/staff_take_attendance.html,staff/attendance/take | staff/get_students | staff/attendance/save,staff/attendance/take | staff/get_students | staff/attendance/save,1,0
usecase_v1_0006_path,jobic10__student-management-using-django,1.0,0.75,0.8571,0,1.0,1.0,1.0,1,main_app/urls.py | main_app/staff_views.py | main_app/templates/staff_template/staff_update_attendance.html,main_app/urls.py | main_app/staff_views.py | main_app/models.py | main_app/templates/staff_template/staff_update_attendance.html,staff/attendance/update | staff/attendance/fetch,staff/attendance/update | staff/attendance/fetch | staff/attendance/update,1,0
usecase_v1_0007_path,jobic10__student-management-using-django,1.0,0.75,0.8571,0,1.0,1.0,1.0,1,main_app/urls.py | main_app/staff_views.py | main_app/EditResultView.py,main_app/urls.py | main_app/staff_views.py | main_app/EditResultView.py | main_app/models.py,staff/result/add | staff/result/edit | staff/result/fetch,staff/result/add | staff/result/edit | staff/result/fetch,1,0
usecase_v1_0008_path,jobic10__student-management-using-django,1.0,0.5,0.6667,0,1.0,1.0,1.0,1,main_app/urls.py | main_app/staff_views.py,main_app/urls.py | main_app/staff_views.py | main_app/forms.py | main_app/models.py,staff/apply/leave,staff/apply/leave,1,0
usecase_v1_0009_path,jobic10__student-management-using-django,1.0,0.75,0.8571,0,1.0,1.0,1.0,1,main_app/urls.py | main_app/student_views.py | main_app/templates/student_template/student_view_attendance.html,main_app/urls.py | main_app/student_views.py | main_app/models.py | main_app/templates/student_template/student_view_attendance.html,student/view/attendance,student/view/attendance,1,0
