task_id,repository_folder,actor_exact_match,actor_token_f1,exact_name_match,substring_name_match,name_token_f1,description_token_f1,valid_prediction,parse_error,runtime_error,gold_actor,pred_actor,gold_use_case_name,pred_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,1,1.0,1,1,1.0,0.3158,1,0,0,Admin,Admin,Manage staff,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,1,1.0,1,1,1.0,0.2857,1,0,0,Admin,Admin,Manage students,Manage students
usecase_v1_0002,jobic10__student-management-using-django,1,1.0,1,1,1.0,0.25,1,0,0,Admin,Admin,Manage courses,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,1,1.0,1,1,1.0,0.2727,1,0,0,Admin,Admin,Manage subjects,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,1,1.0,0,0,0.8,0.1667,1,0,0,Admin,Admin,Manage academic sessions,Manage sessions
usecase_v1_0005,jobic10__student-management-using-django,1,1.0,0,0,0.8,0.75,1,0,0,Teacher,Teacher,Take student attendance,Take Attendance
usecase_v1_0006,jobic10__student-management-using-django,1,1.0,0,0,0.8,0.5833,1,0,0,Teacher,Teacher,Update student attendance,Update Attendance
usecase_v1_0007,jobic10__student-management-using-django,1,1.0,0,0,0.25,0.1053,1,0,0,Teacher,Teacher,Add or update student result,Manage Student Results
usecase_v1_0008,jobic10__student-management-using-django,1,1.0,1,1,1.0,0.3636,1,0,0,Teacher,Teacher,Apply for leave,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,1,1.0,1,1,1.0,0.6087,1,0,0,Student,Student,View attendance,View Attendance
usecase_v1_0010,jobic10__student-management-using-django,1,1.0,0,1,0.5,0.2353,1,0,0,Student,Student,View result,View Results
usecase_v1_0011,jobic10__student-management-using-django,1,1.0,0,0,0.2857,0.2609,1,0,0,Admin,Admin,Review leave applications,View student leave detail
usecase_v1_0012,jobic10__student-management-using-django,1,1.0,0,0,0.2857,0.4,1,0,0,Admin,Admin,Reply to feedback,View student feedback detail
usecase_v1_0013,thakurpdhiraj__library_management_system,1,1.0,0,0,0.5714,0.3243,1,0,0,Admin,Admin,Add book and create inventory,Create Book
usecase_v1_0014,thakurpdhiraj__library_management_system,1,1.0,0,0,0.3333,0.2,1,0,0,Admin,Admin,Search and update books,Manage books
usecase_v1_0015,thakurpdhiraj__library_management_system,1,1.0,0,1,0.6667,0.4286,1,0,0,Admin,Admin,Delete book or inventory,Delete book
usecase_v1_0016,thakurpdhiraj__library_management_system,1,1.0,1,1,1.0,0.3333,1,0,0,Admin,Admin,Manage users,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,1,1.0,0,0,0.5714,0.2353,1,0,0,User,User,Order available book,Place new book order
usecase_v1_0018,thakurpdhiraj__library_management_system,1,1.0,0,0,0.6667,0.2424,1,0,0,User,User,View current orders,View My Orders
usecase_v1_0019,thakurpdhiraj__library_management_system,1,1.0,1,1,1.0,0.2105,1,0,0,User,User,View order history,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,1,1.0,0,0,0.6667,0.381,1,0,0,User,User,Filter overdue orders,View overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,1,1.0,0,1,0.6667,0.6923,1,0,0,Admin,Admin,Search orders,Search orders by type
usecase_v1_0022,thakurpdhiraj__library_management_system,1,1.0,1,1,1.0,0.48,1,0,0,Admin,Admin,Mark order as collected,Mark order as collected
usecase_v1_0023,thakurpdhiraj__library_management_system,1,1.0,0,1,0.7273,0.303,1,0,0,Admin,Admin,Mark order as returned and generate invoice,Mark order as returned
usecase_v1_0024,thakurpdhiraj__library_management_system,1,1.0,0,0,0.0,0.25,1,0,0,All,All,Authenticate and access role-based views,Login
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,1,1.0,1,1,1.0,0.2,1,0,0,Master,Master,Manage schools,Manage schools
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,1,1.0,0,0,0.4,0.25,1,0,0,Admin,Admin,Register school users,Register User
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,1,1.0,0,0,0.0,0.1905,1,0,0,Admin,Admin,Manage classes and sections,Create school class
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,1,1.0,1,1,1.0,0.6957,1,0,0,Teacher,Teacher,Take attendance,Take Attendance
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,1,1.0,1,1,1.0,0.3529,1,0,0,Teacher,Teacher,Adjust attendance,Adjust Attendance
usecase_v1_0030,abdulwahid880__School-Management-system-in-laravel-,1,1.0,0,0,0.2857,0.4286,1,0,0,Teacher,Teacher,Calculate and save grades,View grades detail
usecase_v1_0031,abdulwahid880__School-Management-system-in-laravel-,1,1.0,0,1,0.8,0.25,1,0,0,Student,Student,View grades,View grades detail
usecase_v1_0032,abdulwahid880__School-Management-system-in-laravel-,1,1.0,0,0,0.0,0.2222,1,0,0,Accountant,Accountant,Manage fees,Create/Add Fee
usecase_v1_0033,abdulwahid880__School-Management-system-in-laravel-,1,1.0,0,0,0.4444,0.3077,1,0,0,Accountant,Accountant,Manage income and expenses,Manage account sectors and transactions
usecase_v1_0034,abdulwahid880__School-Management-system-in-laravel-,1,1.0,1,1,1.0,0.3333,1,0,0,Admin,Admin,Manage exams,Manage exams
usecase_v1_0035,abdulwahid880__School-Management-system-in-laravel-,1,1.0,0,0,0.6667,0.4545,1,0,0,Admin,Admin,Manage academic content,Manage Academic Settings
usecase_v1_0036,abdulwahid880__School-Management-system-in-laravel-,1,1.0,0,0,0.8,0.1905,1,0,0,Librarian,Librarian,Manage library books,Manage books
usecase_v1_0037,abdulwahid880__School-Management-system-in-laravel-,1,1.0,0,0,0.2857,0.4,1,0,0,Librarian,Librarian,Issue and return books,Manage issued books
usecase_v1_0038,abdulwahid880__School-Management-system-in-laravel-,1,1.0,0,0,0.2222,0.2105,1,0,0,Admin,Admin,Import and export users,Export students data to Excel
usecase_v1_0039,4jean__lav_sms,1,1.0,0,0,0.4,0.4167,1,0,0,Support Team,Support Team,Manage student records,Manage Students
usecase_v1_0040,4jean__lav_sms,1,1.0,1,1,1.0,0.4848,1,0,0,Support Team,Support Team,Promote students,Promote students
usecase_v1_0041,4jean__lav_sms,1,1.0,0,1,0.5,0.5185,1,0,0,Support Team,Support Team,Manage timetable,Manage TimeTables
usecase_v1_0042,4jean__lav_sms,1,1.0,1,1,1.0,0.6957,1,0,0,Support Team,Support Team,Manage payments,Manage Payments
usecase_v1_0043,4jean__lav_sms,1,1.0,1,1,1.0,0.6667,1,0,0,Support Team,Support Team,Manage marks,Manage Marks
usecase_v1_0044,4jean__lav_sms,1,1.0,0,0,0.0,0.32,1,0,0,Student,Student,View and print marksheet,Select Exam Year
usecase_v1_0045,4jean__lav_sms,1,1.0,0,0,0.5714,0.5926,1,0,0,Support Team,Support Team,Generate tabulation sheet,Generate Marks Tabulation Report
usecase_v1_0046,4jean__lav_sms,1,1.0,0,0,0.2,0.5625,1,0,0,Support Team,Support Team,Manage academic structure,"Manage classes, sections, subjects, grades, and exams"
usecase_v1_0047,4jean__lav_sms,1,1.0,0,0,0.8,0.1905,1,0,0,Parent,Parent,View children,View my children
usecase_v1_0048,4jean__lav_sms,1,1.0,0,0,0.3333,0.2,1,0,0,User,User,Update own account,Manage account profile
usecase_v1_0049,4jean__lav_sms,1,1.0,0,0,0.3333,0.4286,1,0,0,Support Team,Support Team,Generate and verify pins,Manage Pins
usecase_v1_0050,openfun__marsha,1,1.0,0,1,0.8,0.4167,1,0,0,Instructor,Instructor,Create video resource,Create Video
usecase_v1_0051,openfun__marsha,1,1.0,1,1,1.0,0.4167,1,0,0,Instructor,Instructor,Initiate video upload,Initiate video upload
usecase_v1_0052,openfun__marsha,1,1.0,0,0,0.5714,0.4444,1,0,0,Instructor,Instructor,Complete video upload,Notify video upload completion
usecase_v1_0053,openfun__marsha,1,1.0,0,0,0.5714,0.2963,1,0,0,Learner,Learner,View video in LMS,View video detail
usecase_v1_0054,openfun__marsha,1,1.0,0,0,0.5714,0.4615,1,0,0,Instructor,Instructor,Upload subtitles or transcripts,Upload video subtitles
usecase_v1_0055,openfun__marsha,1,1.0,0,0,0.6667,0.6316,1,0,0,Instructor,Instructor,Upload video thumbnail,Create Video Thumbnail
usecase_v1_0056,openfun__marsha,1,1.0,0,1,0.8,0.4762,1,0,0,Instructor,Instructor,Create document resource,Create document
usecase_v1_0057,openfun__marsha,1,1.0,0,0,0.5,0.3226,1,0,0,Instructor,Instructor,Upload document file,Initiate and Complete Document Upload
usecase_v1_0058,openfun__marsha,1,1.0,0,1,0.5,0.2857,1,0,0,Instructor,Instructor,Manage playlist,Manage playlists
usecase_v1_0059,openfun__marsha,1,1.0,0,1,0.6667,0.1739,1,0,0,Organization Admin,Organization Admin,Manage playlist access,Manage playlist accesses
usecase_v1_0060,openfun__marsha,1,1.0,0,0,0.6667,0.7368,1,0,0,Instructor,Instructor,Start live session,Start Live Video
usecase_v1_0061,openfun__marsha,1,1.0,0,0,0.4444,0.5,1,0,0,Instructor,Instructor,Stop and harvest live session,Stop Live Video Recording
usecase_v1_0062,openfun__marsha,1,1.0,0,0,0.5714,0.2308,1,0,0,Learner,Learner,Send video analytics statement,Send xAPI statement
usecase_v1_0063,openfun__marsha,1,1.0,0,0,0.0,0.2,1,0,0,Instructor,Instructor,Create classroom,Manage classrooms
usecase_v1_0064,openfun__marsha,1,1.0,1,1,1.0,0.5,1,0,0,Instructor,Instructor,Upload classroom document,Upload classroom document
usecase_v1_0065,mwinamijr__django-scms,1,1.0,0,0,0.75,0.25,1,0,0,User,User,Authenticate and view profile,Login and View Profile
