task_id,repository_folder,model,run_name,prompt_version,exact_name_match,substring_name_match,name_token_f1,description_token_f1,parse_error,runtime_error,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.125,,,Add Staff,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1,,,Add Student,Manage students
usecase_v1_0002,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,,,Add Course,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,,,Add Subject,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1818,,,Add Session,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.6667,,,Take Attendance,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.4167,,,Update Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.1739,,,Edit Student Result,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.3448,,,Apply for Leave,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.6087,,,View Student Attendance,View attendance
usecase_v1_0010,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.4,,,View Student Result,View result
usecase_v1_0011,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.3333,0.1905,,,View Student Leave,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.3333,0.3,,,View Student Feedback,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5714,0.25,,,Create Book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.2222,,,View Book Detail,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,1,0.6667,0.2,,,Delete Book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,,,Create/Add/Register/Save User,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2222,0.2308,,,Open Book Create or Edit Form,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.2286,,,View My Orders,View current orders
usecase_v1_0019,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8571,0.5,,,View User Order History,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.2857,,,View overdue orders,Filter overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.8333,,,View Orders,Search orders
usecase_v1_0022,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,1,0.8,0.4167,,,Mark Order as Collected or Returned,Mark order as collected
usecase_v1_0023,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2222,0.3226,,,Return Order,Mark order as returned and generate invoice
usecase_v1_0024,thakurpdhiraj__library_management_system,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.25,,,Login,Authenticate and access role-based views
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.3125,,,Create School,Manage schools
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.125,,,Register Student,Register school users
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,,,Add Class,Manage classes and sections
